Population,HPIQuartile,Vaccinated
2787,4,2358.5200536298344
1836,4,1566.8478908089985
4545,4,3868.6033414231256
3448,4,2937.6646365547576
3333,4,2797.9768640856405
1507,4,1282.7250243178548
4003,4,3399.974170616434
3401,4,2757.757834111059
2168,4,1845.5482986633433
5352,4,4551.973442613703
3977,4,3381.554987197409
2304,4,1904.6555609732864
3390,3,2722.0774953799882
4038,2,3064.32972068601
2503,2,1925.1221929963913
2021,2,1438.8270235334946
2477,4,2101.175557912305
1562,3,1107.630654451334
2227,3,1569.3537938192885
2188,3,1397.011835980135
1592,1,815.7658251107036
1095,0,715.7035776507826
1458,3,960.3262307935615
3205,3,2196.648215535758
1402,0,1016.0630052663367
2730,2,1731.9936742433729
2194,3,1422.2871378328796
3875,4,3287.2319144526155
4023,4,3185.2489355805037
4190,3,3445.077613233463
1909,3,1496.8122187780702
4267,4,3625.8674145362834
2514,4,1991.586222759335
1660,4,1257.9489453543897
3272,4,2469.0200855236317
3433,4,2587.1992341558903
2700,4,2234.9036145101204
2779,4,2300.667961418711
2236,4,1856.7001305865142
3278,4,2777.0826271056617
3001,4,2547.3195704903073
4952,4,4171.202240601435
1575,4,1335.2138981986884
5356,4,4547.954155777188
4112,4,3485.1902681968163
1825,4,1475.906669736541
2505,4,2009.3946476412652
3858,4,3070.1287970833
2892,4,2298.8802819281536
3859,4,2656.7912915322277
4388,4,3335.3196275116593
2485,4,2121.128379843033
2433,3,2032.0358474694756
3728,3,3003.9900591462515
2927,2,2209.5682561874937
3440,3,2659.9569577186567
2955,3,1819.656525191711
3023,3,2023.9641305880468
3674,1,1813.1459181902883
3582,1,2404.919160930162
2831,2,1985.2856377502158
3280,2,2479.1028524912003
4036,2,2940.1757478089066
4257,1,3003.424464061974
4287,1,2693.5044543193776
3783,2,2349.14755634504
2040,2,1454.845689879367
5454,2,3344.2963676262143
4295,2,3211.616133262398
2302,2,1860.7604479143977
4728,4,3777.0520088467547
3185,4,2369.9860934101935
3478,4,2550.0585801165735
5490,2,2203.5782014617635
3126,1,1773.9618010909621
4005,2,2355.1378896185934
6152,1,3670.1105603850137
2406,1,1328.0083035755915
3598,1,1731.7403387400414
3567,1,1814.0502775844016
5532,2,2004.6984738690314
3882,4,2201.4086306243194
2310,3,887.6469928373208
2539,4,1079.6014364601187
2548,4,1539.8490013995686
5701,4,3572.1304024093097
3752,3,1864.7532571271167
3924,3,1874.7499423884901
3038,1,1413.6133468668902
4510,1,1915.2171034897992
5049,1,2380.4986175273025
6599,2,3858.6938559977552
5021,1,3329.6123716291927
3080,1,1772.0178039877326
3244,2,2257.566954532047
2056,1,1344.1213503677143
2893,1,1937.0321185135363
4764,1,1776.8624609283183
3887,1,1973.1130490230707
2825,1,1324.026965155034
4578,2,2088.5159906180816
4242,1,1518.613843694083
2691,2,1027.016309451524
3164,4,2506.6586541831625
2659,4,2171.7701146862
2243,2,1335.5370270414785
2808,2,926.9636072333323
3184,1,982.158111622689
3489,2,1810.6914964529396
2034,1,1004.4831604269864
2209,4,1882.8752304335678
2748,4,2274.3058020809563
4299,4,3550.256564207046
2621,3,2092.6825846695833
2175,4,1851.450912736526
3078,4,2626.0141166058975
1913,4,1621.1578425965001
3418,4,2904.357020828202
3665,4,3153.746971320229
