dist,collegegrad,shares,market_ids,prices
0.59958053,0.056000002,0.78859597,90001,0
2.7442048,0.059,0.68980098,90002,0
1.9109894,0.057999998,0.68939197,90003,0
1.1518281,0.34999999,0.79741901,90004,0
0.14031371,0.31299999,0.75195199,90005,0
0.28897494,0.19,0.74774599,90006,0
0.61315596,0.266,0.83561999,90007,0
1.1233153,0.30000001,0.67945701,90008,0
0.58848643,0.50099999,0.94999999,90010,0
0.58471268,0.052999999,0.64354998,90011,0
0.20059106,0.33000001,0.86775601,90012,0
0.4118216,0.377,0.77910101,90013,0
0.10495003,0.44100001,0.83917803,90014,0
0.65839219,0.39300001,0.844917,90015,0
0.92479527,0.24600001,0.78252202,90016,0
0.12124414,0.31600001,0.75212997,90017,0
1.6879848,0.20900001,0.70179302,90018,0
0.30230719,0.347,0.76264203,90019,0
0.5787338,0.41800001,0.81615603,90020,0
1.3761752,0.29499999,0.94999999,90021,0
0.85677034,0.088,0.76486701,90022,0
0.24512604,0.066,0.76832902,90023,0
1.4663652,0.72600001,0.54301,90024,0
0.84510738,0.68800002,0.77004099,90025,0
0.13765614,0.40400001,0.72762799,90026,0
2.3629835,0.546,0.804093,90027,0
0.17498995,0.48100001,0.819112,90028,0
0.21454084,0.301,0.73799598,90029,0
0.56860799,0.21799999,0.75296098,90031,0
0.64785951,0.20200001,0.72055298,90032,0
0.28657994,0.119,0.78358197,90033,0
0.1714531,0.57499999,0.85339397,90034,0
0.47037354,0.63300002,0.83692002,90035,0
0.548186,0.68599999,0.80462402,90036,0
0.92675346,0.07,0.66976899,90037,0
0.5064618,0.34,0.74284399,90038,0
0.75253779,0.50800002,0.81270999,90039,0
2.6369281,0.096000001,0.89593399,90040,0
1.0464119,0.46599999,0.76454097,90041,0
0.14179038,0.32300001,0.74114197,90042,0
1.0575064,0.26199999,0.70551699,90043,0
2.0548992,0.079000004,0.63478202,90044,0
0.31085211,0.60799998,0.94999999,90045,0
1.4480802,0.61500001,0.73921198,90046,0
1.5990611,0.153,0.687482,90047,0
0.3809787,0.685,0.85284799,90048,0
3.9916096,0.787,0.83359897,90049,0
1.4038148,0.51899999,0.87965798,90056,0
0.53543025,0.20299999,0.63168103,90057,0
1.7702184,0.056000002,0.94999999,90058,0
1.3615408,0.075999998,0.63128197,90059,0
0.72300237,0.074000001,0.69638097,90061,0
1.1098655,0.131,0.671628,90062,0
0.35827619,0.104,0.75216103,90063,0
0.57682097,0.67799997,0.947317,90064,0
1.1874418,0.36000001,0.794985,90065,0
0.21913037,0.54500002,0.77644402,90066,0
0.99116409,0.68800002,0.94999999,90067,0
2.9813621,0.65700001,0.84585899,90068,0
0.36423832,0.67400002,0.86416501,90069,0
0.12680793,0.405,0.94999999,90071,0
0.65775138,0.098999999,0.050000001,90073,0
3.8648584,0.792,0.93489701,90077,0
0.70588607,0.0,0.050000001,90079,0
0.44174811,0.428,0.94999999,90089,0
0.81697726,0.0,0.94999999,90090,0
0.38879618,0.81599998,0.853975,90094,0
0.66362453,0.0,0.94999999,90095,0
1.2150202,0.064000003,0.70969403,90201,0
3.5130384,0.65600002,0.92211598,90210,0
0.31028101,0.63,0.89395899,90211,0
0.2546792,0.64399999,0.75563699,90212,0
2.9097738,0.105,0.65307403,90220,0
0.95098722,0.059999999,0.704561,90221,0
1.5349371,0.089000002,0.66082001,90222,0
0.60593903,0.51200002,0.83930701,90230,0
0.82052493,0.58600003,0.94999999,90232,0
1.1234359,0.26100001,0.79097098,90240,0
0.23204046,0.241,0.78431797,90241,0
1.1032367,0.20900001,0.75649899,90242,0
0.29493856,0.58399999,0.94999999,90245,0
0.12335657,0.22499999,0.76741201,90247,0
