latitude,longitude,open
33.9266627,-118.2376659,1
33.9159303,-118.2638999,0
33.9695704,-118.1661175,1
34.0675995,-118.406865,1
33.8670224,-118.3536873,1
33.9461159,-118.2160209,1
33.9993906,-118.4617043,1
34.0019667,-118.4700182,1
33.9663986,-118.3527302,0
33.9460362,-118.3302101,1
33.827982,-118.3533173,1
33.8741554,-118.3507605,1
33.9409551,-117.994277,1
33.9419865,-118.0284435,0
33.9688873,-118.0504131,1
33.8387604,-117.9958267,1
33.8629026,-118.0948085,1
33.904271,-118.1416175,1
33.888717,-118.1240632,1
33.9024604,-118.1453657,1
33.7605721,-118.2941372,0
33.7393419,-118.2933151,1
