
  ___  ____  ____  ____  ____ ®
 /__    /   ____/   /   ____/      18.0
___/   /   /___/   /   /___/       MP—Parallel Edition

 Statistics and Data Science       Copyright 1985-2023 StataCorp LLC
                                   StataCorp
                                   4905 Lakeway Drive
                                   College Station, Texas 77845 USA
                                   800-STATA-PC        https://www.stata.com
                                   979-696-4600        stata@stata.com

Stata license: 5-user 16-core network perpetual
Serial number: 501806317788
  Licensed to: UCLA Anderson School of Management
               Los Angeles, CA

Notes:
      1. Stata is running in batch mode.
      2. Unicode is supported; see help unicode_advice.
      3. More than 2 billion observations are allowed; see help obs_advice.
      4. Maximum number of variables is set to 5,000 but can be increased;
          see help set_maxvar.

. do /mnt/phd/jihu/VaxDemandDistance/Demand/datawork/geonear_pharmacies.do /exp
> ort/storage_covidvaccine/Data/Intermediate/blk_coords.dta /export/storage_cov
> idvaccine/Result/MNL_partial_new/M5_K10000_4q/HighSchools//vaccinated/ca_High
> Schools_locations_total_10000_5_4q_mnl.dta /export/storage_covidvaccine/Resul
> t/MNL_partial_new/M5_K10000_4q/HighSchools//vaccinated/ca_blk_HighSchools_dis
> t_total_10000_5_4q_mnl.csv 3000 50 

. // NOTE: rename the input data's latitude and longitude variables to "latitud
> e" and "longitude" before running this script.
. cap log close

. // JINGYUAN: commented out log file so that we won't be writing on the same l
> og file
. // log using "geonear.log", replace
. 
. *Pass in parameters.
. local baselocs "`1'"

. local nborlocs "`2'"

. local outpath "`3'"

. local within "`4'"

. local limit "`5'"

. 
. if "`within'" == "" local within 200 //max distance in km to search for neigh
> bors

. if "`limit'" == "" local limit 300 //max number of neighbors to return

. 
. di "baselocs: `baselocs'"
baselocs: /export/storage_covidvaccine/Data/Intermediate/blk_coords.dta

. di "nborlocs: `nborlocs'"
nborlocs: /export/storage_covidvaccine/Result/MNL_partial_new/M5_K10000_4q/High
> Schools//vaccinated/ca_HighSchools_locations_total_10000_5_4q_mnl.dta

. di "outpath: `outpath'"
outpath: /export/storage_covidvaccine/Result/MNL_partial_new/M5_K10000_4q/HighS
> chools//vaccinated/ca_blk_HighSchools_dist_total_10000_5_4q_mnl.csv

. di "within: `within'"
within: 3000

. di "limit: `limit'"
limit: 50

. 
. use "`baselocs'", clear

. 
. ds
latitude   longitude  blkid

. 
. geonear blkid latitude longitude using "`nborlocs'", neighbors(id latitude lo
> ngitude) long within(`within') limit(`limit')

current   base    nbor      ops in       cumul   cumul %     remaining
 region   locs    locs      region     ops (M)    % done    (hh:mm:ss)
   599       2   4,035       8,070        14.0       0.9      00:17:56
  1263       7   4,035      28,245        30.9       2.0      00:16:08
  1927       7   4,035      28,245        48.1       3.2      00:15:20
  2601      10   4,035      40,350        65.5       4.3      00:14:51
  3227      10   4,035      40,350        82.1       5.4      00:14:39
  3847       7   4,035      28,245        98.7       6.5      00:14:27
  4314       8   4,035      32,280       110.2       7.2      00:14:59
  4736       6   4,035      24,210       121.5       8.0      00:15:24
  5199       9   4,035      36,315       133.5       8.8      00:15:38
  5596      10   4,035      40,350       143.5       9.4      00:16:03
  5968       6   4,035      24,210       153.0      10.0      00:16:27
  6368       7   4,035      28,245       163.2      10.7      00:16:41
  6844       7   4,035      28,245       175.4      11.5      00:16:40
  7374       6   4,035      24,210       189.1      12.4      00:16:29
  7906       7   4,035      28,245       203.3      13.3      00:16:15
  8406      10   4,035      40,350       217.2      14.3      00:16:03
  8935       6   4,035      24,210       231.8      15.2      00:15:49
  9338       4   4,035      16,140       242.8      15.9      00:15:50
  9681       6   4,035      24,210       252.6      16.6      00:15:57
 10021       4   4,035      16,140       261.5      17.2      00:16:06
 10386      10   4,035      40,350       270.6      17.8      00:16:13
 10767       9   4,035      36,315       280.4      18.4      00:16:16
 11175      10   4,035      40,350       291.1      19.1      00:16:15
 11473       6   4,035      24,210       299.0      19.6      00:16:24
 11824       6   4,035      24,210       308.2      20.2      00:16:27
 12163       9   4,035      36,315       317.3      20.8      00:16:30
 12572       9   4,035      36,315       328.0      21.5      00:16:25
 13072       7   4,035      28,245       340.9      22.4      00:16:13
 13530       7   4,035      28,245       353.4      23.2      00:16:01
 13850       8   4,035      32,280       361.9      23.8      00:16:04
 14213       8   4,035      32,280       371.6      24.4      00:16:02
 14582       7   4,035      28,245       381.6      25.0      00:15:59
 14974      10   4,035      40,350       392.2      25.7      00:15:53
 15499       8   4,035      32,280       406.4      26.7      00:15:36
 15990      10   4,035      40,350       419.9      27.6      00:15:21
 16497       8   4,035      32,280       434.2      28.5      00:15:05
 16870       9   4,035      36,315       444.0      29.1      00:15:01
 17178       8   4,035      32,280       452.2      29.7      00:15:02
 17489       5   4,035      20,175       461.0      30.3      00:15:00
 17836       4   4,035      16,140       470.3      30.9      00:14:57
 18222      10   4,035      40,350       481.0      31.6      00:14:50
 18667       8   4,035      32,280       492.7      32.3      00:14:40
 19183      10   4,035      40,350       507.1      33.3      00:14:23
 19706       7   4,035      28,245       521.8      34.2      00:14:06
 20202       9   4,035      36,315       535.9      35.2      00:13:51
 20634      10   4,035      40,350       547.6      35.9      00:13:41
 20929      10   4,035      40,350       555.8      36.5      00:13:40
 21331      10   4,035      40,350       565.6      37.1      00:13:34
 21784       9   4,035      36,315       577.1      37.9      00:13:25
 22145      10   4,035      40,350       586.3      38.5      00:13:21
 22515       5   4,035      20,175       595.8      39.1      00:13:16
 22876       9   4,035      36,315       604.7      39.7      00:13:11
 23215       5   4,035      20,175       613.8      40.3      00:13:07
 23599       9   4,035      36,315       623.6      40.9      00:13:01
 23993      10   4,035      40,350       634.1      41.6      00:12:53
 24471       6   4,035      24,210       646.3      42.4      00:12:41
 24958      10   4,035      40,350       659.2      43.3      00:12:29
 25429       9   4,035      36,315       672.0      44.1      00:12:16
 25787       7   4,035      28,245       681.5      44.7      00:12:10
 26090       8   4,035      32,280       689.7      45.3      00:12:07
 26474       6   4,035      24,210       699.7      45.9      00:11:59
 26901       7   4,035      28,245       710.9      46.7      00:11:50
 27263       5   4,035      20,175       720.5      47.3      00:11:43
 27587       6   4,035      24,210       729.1      47.9      00:11:38
 27978       8   4,035      32,280       739.9      48.6      00:11:30
