
  ___  ____  ____  ____  ____ ®
 /__    /   ____/   /   ____/      18.0
___/   /   /___/   /   /___/       MP—Parallel Edition

 Statistics and Data Science       Copyright 1985-2023 StataCorp LLC
                                   StataCorp
                                   4905 Lakeway Drive
                                   College Station, Texas 77845 USA
                                   800-STATA-PC        https://www.stata.com
                                   979-696-4600        stata@stata.com

Stata license: 5-user 16-core network perpetual
Serial number: 501806317788
  Licensed to: UCLA Anderson School of Management
               Los Angeles, CA

Notes:
      1. Stata is running in batch mode.
      2. Unicode is supported; see help unicode_advice.
      3. More than 2 billion observations are allowed; see help obs_advice.
      4. Maximum number of variables is set to 5,000 but can be increased;
          see help set_maxvar.

. do /mnt/phd/jihu/VaxDemandDistance/Demand/datawork/geonear_pharmacies.do /exp
> ort/storage_covidvaccine/Data/Intermediate/blk_coords.dta /export/storage_cov
> idvaccine/Result/MNL_partial_new/M5_K10000_4q/HighSchools//vaccinated/ca_High
> Schools_locations_total_10000_5_4q_mnl_A1000.dta /export/storage_covidvaccine
> /Result/MNL_partial_new/M5_K10000_4q/HighSchools//vaccinated/ca_blk_HighSchoo
> ls_dist_total_10000_5_4q_mnl_A1000.csv 3000 50 

. // NOTE: rename the input data's latitude and longitude variables to "latitud
> e" and "longitude" before running this script.
. cap log close

. // JINGYUAN: commented out log file so that we won't be writing on the same l
> og file
. // log using "geonear.log", replace
. 
. *Pass in parameters.
. local baselocs "`1'"

. local nborlocs "`2'"

. local outpath "`3'"

. local within "`4'"

. local limit "`5'"

. 
. if "`within'" == "" local within 200 //max distance in km to search for neigh
> bors

. if "`limit'" == "" local limit 300 //max number of neighbors to return

. 
. di "baselocs: `baselocs'"
baselocs: /export/storage_covidvaccine/Data/Intermediate/blk_coords.dta

. di "nborlocs: `nborlocs'"
nborlocs: /export/storage_covidvaccine/Result/MNL_partial_new/M5_K10000_4q/High
> Schools//vaccinated/ca_HighSchools_locations_total_10000_5_4q_mnl_A1000.dta

. di "outpath: `outpath'"
outpath: /export/storage_covidvaccine/Result/MNL_partial_new/M5_K10000_4q/HighS
> chools//vaccinated/ca_blk_HighSchools_dist_total_10000_5_4q_mnl_A1000.csv

. di "within: `within'"
within: 3000

. di "limit: `limit'"
limit: 50

. 
. use "`baselocs'", clear

. 
. ds
latitude   longitude  blkid

. 
. geonear blkid latitude longitude using "`nborlocs'", neighbors(id latitude lo
> ngitude) long within(`within') limit(`limit')

current   base    nbor      ops in       cumul   cumul %     remaining
 region   locs    locs      region     ops (M)    % done    (hh:mm:ss)
   279       7   5,035      35,245         8.1       0.4      00:39:58
   358       7   5,035      35,245        10.4       0.5      01:01:14
   570       3   5,035      15,105        16.7       0.9      00:56:44
   939       9   5,035      45,315        28.0       1.5      00:44:52
  1294       5   5,035      25,175        39.7       2.1      00:39:14
  1647       4   5,035      20,140        51.5       2.7      00:36:06
  1994       9   5,035      45,315        62.5       3.3      00:34:28
  2351       7   5,035      35,245        74.0       3.9      00:33:03
  2701       7   5,035      35,245        85.2       4.5      00:32:04
  3040       9   5,035      45,315        96.2       5.1      00:31:22
  3369       8   5,035      40,280       107.6       5.7      00:30:39
  3713       8   5,035      40,280       119.0       6.3      00:30:02
  4010       7   5,035      35,245       128.3       6.8      00:30:01
  4280       9   5,035      45,315       136.7       7.2      00:30:12
  4534      10   5,035      50,350       144.9       7.6      00:30:23
  4776       6   5,035      30,210       153.1       8.1      00:30:32
  5040      10   5,035      50,350       161.7       8.5      00:30:33
  5312       5   5,035      25,175       170.4       9.0      00:30:32
  5593       8   5,035      40,280       179.1       9.4      00:30:31
  5870       7   5,035      35,245       187.8       9.9      00:30:29
  6133       6   5,035      30,210       196.6      10.3      00:30:25
  6400       7   5,035      35,245       204.9      10.8      00:30:25
  6668       8   5,035      40,280       213.4      11.2      00:30:23
  6931       8   5,035      40,280       222.0      11.7      00:30:19
  7239       7   5,035      35,245       231.5      12.2      00:30:07
  7529       6   5,035      30,210       241.2      12.7      00:29:53
  7827       8   5,035      40,280       251.1      13.2      00:29:37
  8122       8   5,035      40,280       261.4      13.8      00:29:19
  8426       8   5,035      40,280       272.0      14.3      00:29:00
  8718       9   5,035      45,315       281.9      14.8      00:28:46
  8911       8   5,035      40,280       288.6      15.2      00:28:55
  9098       8   5,035      40,280       295.0      15.5      00:29:05
  9231      10   5,035      50,350       299.7      15.8      00:29:27
  9341       8   5,035      40,280       303.3      16.0      00:29:55
  9466       8   5,035      40,280       307.6      16.2      00:30:17
  9566       5   5,035      25,175       311.2      16.4      00:30:43
  9710       6   5,035      30,210       316.4      16.7      00:30:57
  9860       9   5,035      45,315       321.3      16.9      00:31:13
  9999       7   5,035      35,245       325.9      17.2      00:31:30
 10158       5   5,035      25,175       330.6      17.4      00:31:45
 10329       6   5,035      30,210       336.0      17.7      00:31:55
 10497       3   5,035      15,105       341.6      18.0      00:32:02
 10711       9   5,035      45,315       348.4      18.3      00:32:01
 10927      10   5,035      50,350       355.5      18.7      00:31:58
 11117       6   5,035      30,210       361.6      19.0      00:32:01
 11254       9   5,035      45,315       366.0      19.3      00:32:14
 11381      10   5,035      50,350       370.2      19.5      00:32:28
 11511       9   5,035      45,315       374.6      19.7      00:32:41
 11656       6   5,035      30,210       379.3      20.0      00:32:51
 11822       8   5,035      40,280       384.8      20.3      00:32:55
 11952       7   5,035      35,245       388.9      20.5      00:33:08
 12063       5   5,035      25,175       392.8      20.7      00:33:22
 12193       6   5,035      30,210       397.2      20.9      00:33:32
 12358       5   5,035      25,175       402.4      21.2      00:33:36
 12606       9   5,035      45,315       410.6      21.6      00:33:21
 12859       3   5,035      15,105       418.6      22.0      00:33:08
 13095       7   5,035      35,245       426.3      22.4      00:32:56
 13328      10   5,035      50,350       434.0      22.8      00:32:45
 13547       6   5,035      30,210       441.7      23.3      00:32:34
 13686       7   5,035      35,245       446.6      23.5      00:32:39
 13864       6   5,035      30,210       452.3      23.8      00:32:38
 14041       9   5,035      45,315       458.0      24.1      00:32:38
 14221       6   5,035      30,210       464.2      24.4      00:32:35
 14401       9   5,035      45,315       470.3      24.8      00:32:32
 14586      10   5,035      50,350       476.6      25.1      00:32:27
 14756       7   5,035      35,245       482.2      25.4      00:32:27
 14944       8   5,035      40,280       488.5      25.7      00:32:22
 15153       7   5,035      35,245       495.8      26.1      00:32:12
 15416       5   5,035      25,175       504.7      26.6      00:31:53
 15721      10   5,035      50,350       514.8      27.1      00:31:30
 16020       7   5,035      35,245       525.3      27.6      00:31:04
 16321       9   5,035      45,315       535.8      28.2      00:30:39
 16569       8   5,035      40,280       544.2      28.6      00:30:24
 16782       7   5,035      35,245       551.4      29.0      00:30:15
 16998       8   5,035      40,280       558.7      29.4      00:30:06
 17189       5   5,035      25,175       564.9      29.7      00:30:02
 17376       6   5,035      30,210       571.5      30.1      00:29:56
 17568       6   5,035      30,210       578.4      30.4      00:29:48
 17807       8   5,035      40,280       586.1      30.9      00:29:36
 18047       8   5,035      40,280       594.3      31.3      00:29:23
 18347       5   5,035      25,175       604.5      31.8      00:29:01
 18596       7   5,035      35,245       612.6      32.2      00:28:49
 18807       8   5,035      40,280       619.9      32.6      00:28:39
 19012       5   5,035      25,175       627.2      33.0      00:28:30
 19235       6   5,035      30,210       634.9      33.4      00:28:19
 19521       6   5,035      30,210       644.9      33.9      00:27:59
 19803       6   5,035      30,210       654.8      34.5      00:27:39
 20065      10   5,035      50,350       664.3      35.0      00:27:22
 20364       8   5,035      40,280       674.2      35.5      00:27:03
 20577       8   5,035      40,280       681.6      35.9      00:26:53
 20760       8   5,035      40,280       687.9      36.2      00:26:48
 20952       6   5,035      30,210       694.5      36.6      00:26:41
 21174       8   5,035      40,280       701.6      36.9      00:26:33
 21385       4   5,035      20,140       708.0      37.3      00:26:27
 21602      10   5,035      50,350       714.9      37.6      00:26:19
